Benchmarking M=256 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
109385400 	663142000 	179740300 	708974100 	401963500 	151282500 	723803400 	1242019100 	927224500 	23628700 	
111145500 	632174400 	185209600 	745579500 	460177500 	186406300 	743717400 	1218621300 	787413900 	19764700 	
109578900 	572354200 	172213600 	706088900 	388479400 	141073800 	672611800 	1150531900 	828457000 	19999300 	
105625900 	487383600 	172353700 	690736200 	420103600 	142081500 	632611500 	1169597200 	791655300 	20608200 	
107812500 	472336100 	170753100 	718167600 	382945200 	140470500 	628393100 	1171827600 	791728500 	20125400 	
111848600 	513074100 	169913300 	681010300 	385255700 	139944700 	667852300 	1134349000 	804666600 	31070500 	
1067	5652	1765	7830	4082	1516	6720	11940	8267	240	ms
1.00	0.19	0.60	0.14	0.26	0.70	0.16	0.09	0.13	4.45	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.550000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
122333100 	444146800 	157063400 	796847400 	385583500 	132112300 	561693100 	1185952900 	763635300 	18432200 	
107244300 	415609900 	158828000 	932115800 	372331100 	133515600 	572303400 	1178763400 	763213600 	18234100 	
108750200 	516448600 	156817900 	726318000 	372341200 	131496000 	608731700 	1131093700 	804930900 	18448200 	
106211500 	438921500 	165127800 	978674100 	373988400 	131166900 	569110100 	1182640200 	764509700 	18500400 	
105741100 	464427400 	155920700 	782364400 	374022600 	128386300 	566933400 	1179976900 	768365000 	18324400 	
103241200 	459930900 	157241800 	959238800 	372687000 	131361700 	589358800 	1138356600 	800510800 	21049500 	
102504000 	419953500 	155252800 	717578500 	398487200 	134843700 	564989600 	1134435400 	795565100 	18388700 	
106672300 	442539600 	159597000 	726840500 	372486900 	133858400 	564336100 	1170902600 	774105500 	18884700 	
104628900 	454412300 	158123600 	739309300 	371879700 	129432100 	566017300 	1164094700 	770587800 	18193500 	
110716700 	464490100 	156741000 	717474900 	375286500 	135544000 	604875100 	1138169700 	773057000 	28529800 	
1078	4520	1580	8076	3769	1321	5768	11604	7778	196	ms
1.00	0.24	0.68	0.13	0.29	0.82	0.19	0.09	0.14	5.47	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.600000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
109544100 	399996200 	156798600 	740455800 	354370500 	117059100 	503383300 	1165630300 	728388200 	18720000 	
110808100 	415808300 	144911500 	772838400 	357702100 	115852900 	532495100 	1130296100 	740487100 	23014300 	
99314600 	415597300 	145503500 	711195700 	355216000 	116852000 	538147800 	1133764200 	767837600 	16491900 	
110306600 	371123100 	147511800 	717706400 	356624200 	139188400 	526722300 	1140262500 	792728200 	16531100 	
109388400 	380981200 	130898100 	705135100 	385137100 	123385800 	512293400 	1173427000 	749267400 	16653600 	
113437600 	369938400 	151694200 	723420700 	357263100 	116941800 	503706600 	1157391500 	758313300 	16668600 	
108290500 	369670400 	140002100 	723224800 	353316700 	118264800 	502949700 	1146020700 	735979400 	16538600 	
101375700 	392232600 	141209700 	790999200 	358418800 	117036400 	503821700 	1174320700 	733213100 	16894200 	
109702000 	410736600 	146985900 	708420100 	354195200 	117960600 	507691700 	1174579800 	763183300 	25383600 	
109385200 	353307300 	144687400 	750977200 	354508000 	118251700 	531994900 	1145435700 	730875900 	21264300 	
1081	3879	1450	7344	3586	1200	5163	11541	7500	188	ms
1.00	0.28	0.75	0.15	0.30	0.90	0.21	0.09	0.14	5.75	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.650000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
98547800 	349909200 	111406300 	744096900 	330978600 	108909200 	457315400 	1192817700 	693048000 	14788300 	
103419400 	332835900 	123025600 	798086000 	336696400 	104735300 	442250200 	1161152600 	698586600 	14732200 	
108985300 	343276700 	122762300 	733634600 	335082800 	104059900 	440776600 	1176153200 	693964100 	14974500 	
107513000 	296800000 	124743400 	733453800 	334367700 	106662500 	447247500 	1167411800 	699365200 	14776500 	
109651600 	308802200 	123346000 	725711900 	335924500 	104139600 	438877300 	1154292400 	715184500 	14699400 	
110482000 	312759700 	122694200 	715105200 	333327400 	106241400 	436877600 	1166734700 	692420600 	14703600 	
110377100 	324330700 	124232100 	742527200 	337487800 	107228900 	440745800 	1185991000 	693010600 	14843400 	
111453000 	345462400 	128894600 	732809700 	336718600 	107554700 	440664700 	1177202000 	692055200 	14810800 	
107007700 	341506400 	126482600 	722784700 	335984600 	108293700 	442553800 	1159648900 	701101800 	14953200 	
108697900 	345030900 	125498000 	730432200 	341078300 	110205600 	441806000 	1177027200 	697681900 	15267700 	
1076	3300	1233	7378	3357	1068	4429	11718	6976	148	ms
1.00	0.33	0.87	0.15	0.32	1.01	0.24	0.09	0.15	7.24	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.700000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
130064200 	288717900 	114425700 	737815100 	306385200 	92205300 	373153200 	1167151500 	646154400 	13015700 	
107951300 	317920800 	108700700 	792243600 	315242000 	89045000 	378464700 	1155299800 	647252200 	13254300 	
