Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
40292300 	518661000 	208811100 	45656400 	155127900 	36184900 	228616300 	278097300 	10677200 	
396	5793	1959	467	1690	457	2274	2901	86	ms
1.00	0.07	0.20	0.85	0.23	0.87	0.17	0.14	4.57	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.600000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
28119200 	530920500 	181154600 	46929400 	138330000 	33014800 	204798900 	260605400 	7946300 	
39732900 	562692800 	183137200 	41544400 	163579900 	43822500 	195618100 	285966600 	5362600 	
38555000 	523433700 	169172900 	42034400 	138829700 	40285400 	200287300 	266598300 	8094800 	
39326400 	505495500 	166800400 	42584700 	150415400 	41553100 	205849900 	286958400 	12550300 	
41835600 	529823100 	194505000 	43004700 	147450100 	41388600 	204059200 	262677800 	7994300 	
42408000 	514592100 	168402000 	43398600 	152005900 	31996000 	205012600 	283861600 	6442800 	
40631200 	495253200 	182874100 	44364900 	154810700 	33194400 	201899300 	291178600 	7939500 	
40336400 	504554700 	201800100 	42576600 	155556300 	46106700 	197510700 	264092600 	7980500 	
36498700 	539841800 	172190800 	43961600 	181501600 	34821800 	207179500 	267977400 	7887900 	
42691400 	506990500 	164269900 	41505100 	153833700 	46878300 	202437000 	289483100 	8093900 	
390	5213	1784	431	1536	393	2024	2759	80	ms
1.00	0.07	0.22	0.90	0.25	0.99	0.19	0.14	4.86	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.650000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
35537400 	489283000 	135127400 	41819600 	176331900 	30209700 	169505300 	271416600 	7029300 	
45560900 	464419500 	136192100 	37656800 	170152500 	38923900 	180954000 	276707800 	5798900 	
50206500 	431010300 	139586900 	37798200 	171288600 	36639500 	177473800 	248518200 	7181800 	
47871100 	448274500 	148060600 	37933100 	145106700 	29416700 	177943200 	276897100 	7000700 	
46260200 	457397700 	168255700 	37529900 	140495000 	28654400 	179735800 	297660400 	5641700 	
40224300 	453354000 	121014200 	39111500 	162559200 	33924100 	171259000 	278212800 	5588700 	
45408400 	442935400 	137290600 	38342600 	155685700 	35901900 	176123600 	242218000 	7250700 	
44685400 	402828500 	137897300 	37541800 	143595000 	39640400 	177105600 	250771900 	7142700 	
46961500 	473750400 	157662600 	32562500 	121288000 	50944100 	182351300 	257737200 	7156400 	
41718900 	405024000 	139842700 	38169800 	165138900 	35957400 	180091700 	271708500 	6969200 	
444	4468	1420	378	1551	360	1772	2671	66	ms
1.00	0.10	0.31	1.17	0.29	1.23	0.25	0.17	6.66	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.700000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
33298400 	474447500 	142228100 	34335200 	139084200 	33888400 	150564500 	248076200 	5637300 	
48076200 	420603300 	122816000 	32857300 	145900700 	37869100 	151453100 	257657400 	6438000 	
41871500 	377659900 	111701700 	33914200 	130764200 	35160700 	158080500 	227606800 	4898500 	
47987900 	387211400 	125831400 	34193100 	170477400 	37887100 	154466400 	252457400 	4778600 	
41275300 	362033100 	142144000 	34544000 	134127100 	34395400 	155262200 	248922600 	6039300 	
43595700 	409801100 	146489600 	33669500 	162186400 	28040900 	149834100 	243449100 	6134700 	
45629900 	403283400 	137705900 	32235700 	135139100 	33636600 	153769900 	250977800 	6198300 	
45288800 	423161500 	126494900 	33778300 	144900500 	33225800 	156531100 	250524900 	4989500 	
46214600 	386837500 	118923400 	34415800 	143495000 	38978100 	151113600 	237919700 	6268700 	
42199700 	394759000 	137319700 	35451900 	134922200 	36813300 	153560700 	241779200 	6288000 	
435	4039	1311	339	1440	349	1534	2459	57	ms
1.00	0.11	0.33	1.28	0.30	1.24	0.28	0.18	7.55	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.750000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
30678900 	265383100 	75322300 	29719400 	126236300 	30344400 	113309400 	176413600 	5212700 	
46270200 	276825200 	103050200 	23777800 	89905300 	21161800 	106417800 	181387500 	3364500 	
39706500 	238609800 	84337400 	29240300 	125436300 	30975800 	109659400 	172782300 	3322800 	
44515900 	287160000 	89925300 	29172400 	137767400 	26254700 	125500300 	173453300 	3370300 	
44280000 	234235400 	99337600 	29203200 	117812900 	30287900 	123014500 	194374200 	3423800 	
45261500 	250583900 	91061100 	27688100 	116721100 	30844100 	130183600 	173493700 	3333900 	
54362200 	239167300 	87422800 	29337200 	114997600 	27167600 	120587400 	176184100 	3326100 	
45433800 	241502600 	74532100 	30787900 	132197900 	30816600 	110540700 	176113800 	3870600 	
48853100 	241275900 	89586700 	27673300 	116487300 	28438600 	121526800 	175004800 	5195200 	
49494200 	231638800 	87378700 	27857900 	130361500 	27738600 	116310800 	174775100 	3445400 	
448	2506	881	284	1207	284	1177	1773	37	ms
1.00	0.18	0.51	1.58	0.37	1.58	0.38	0.25	11.85	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.800000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
32847900 	223949600 	76647600 	24853100 	111966800 	24732300 	102001100 	155769200 	2719400 	
42722100 	214052000 	73627100 	22542400 	114777300 	23986800 	97435600 	147288900 	2693900 	
45083300 	228675800 	74961400 	23694300 	114531100 	24678300 	99315300 	159353800 	2786600 	
41577200 	189316100 	53959400 	22109400 	99441300 	24209500 	99251000 	156248500 	2753000 	
51572200 	211712400 	55293000 	21992200 	102353700 	24087200 	98763600 	147808000 	2734000 	
42982800 	227274400 	76992500 	22533000 	101014800 	23861500 	105408600 	148952400 	4342200 	
43000300 	209284900 	53843200 	22143100 	98759700 	23215400 	98558400 	155036500 	2871700 	
45953200 	215436300 	75836300 	21997300 	118647000 	27951800 	95801900 	181580600 	4213900 	
43254900 	204578200 	83099700 	24954300 	113695000 	26496900 	97574900 	152105000 	2737200 	
42936200 	185461600 	83829300 	23007200 	99975800 	25049500 	104995100 	149641500 	2740400 	
431	2109	708	229	1075	248	999	1553	30	ms
1.00	0.20	0.61	1.88	0.40	1.74	0.43	0.28	14.12	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.850000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
29564100 	160659100 	62491500 	18385500 	85111700 	19027200 	76172900 	135025700 	3331500 	
49394900 	152736900 	49200100 	18678100 	88484700 	18730200 	77501500 	122596300 	2133400 	
47867200 	139252500 	41906800 	17847300 	86490800 	18925700 	79883400 	128689200 	2119700 	
47613100 	159408300 	41135100 	18150800 	91186700 	18340900 	79403500 	151935100 	2128200 	
45523900 	150039000 	61450700 	19084800 	86962900 	18840200 	78468900 	120667200 	2068800 	
47763100 	160979200 	63082300 	17872900 	98202900 	19136400 	78574300 	120871800 	3383700 	
52367800 	153412200 	54533800 	18904700 	87317600 	19590700 	75691600 	119493000 	2605800 	
44572500 	150198000 	52631200 	20918200 	90990300 	19203600 	81253400 	126350700 	2072000 	
45434700 	164421900 	63704500 	17330800 	86434800 	18900900 	79794700 	120782600 	2072900 	
47111700 	149644800 	64207300 	18646600 	92381400 	18945600 	76373200 	119257200 	2075300 	
457	1540	554	185	893	189	783	1265	23	ms
1.00	0.30	0.82	2.46	0.51	2.41	0.58	0.36	19.06	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.900000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
