Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
39066200 	345350600 	124888900 	28854900 	137238700 	29307100 	125453300 	203134200 	5288600 	
39085500 	373623000 	126319900 	28153700 	122054300 	30574200 	125565300 	179833100 	3983900 	
47383300 	305617700 	134120900 	27480700 	116155400 	28893700 	116056400 	165046000 	3318300 	
39331400 	301093500 	121497100 	28325500 	115801000 	29121100 	126230100 	158931700 	3323000 	
45252500 	280526700 	99881500 	29661200 	124321900 	25727200 	116248900 	160658900 	3313600 	
47075600 	249760000 	68624100 	26803300 	120051900 	39155400 	130892000 	162489100 	3282900 	
51020600 	247699100 	94555500 	23614500 	91575800 	28054300 	114256000 	169451800 	3346600 	
430	3139	1094	277	1179	304	1229	1720	39	ms
1.00	0.14	0.39	1.55	0.36	1.41	0.35	0.25	10.99	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.800000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
34066100 	195149900 	57142600 	23213700 	100729600 	24097300 	99275200 	153417700 	4313200 	
43682100 	202726000 	79321900 	21880200 	111161900 	23005600 	95495800 	138656400 	2708100 	
43362600 	223572000 	92211800 	25345000 	110726800 	23247100 	95589500 	140201900 	2702700 	
45428200 	209397000 	72951800 	23685800 	124203500 	24235900 	100821700 	138680200 	2760000 	
44019200 	182814100 	54599800 	22094900 	108272200 	23350800 	98328500 	142277500 	3828000 	
53422400 	183725800 	54771100 	19397600 	82384200 	17952000 	84068800 	137005500 	2710500 	
50421300 	213277600 	56246300 	22162200 	113980500 	24791400 	94648600 	135437600 	2707000 	
44949600 	184576400 	54127800 	22214800 	99328200 	23658800 	97332000 	146953900 	4434700 	
52025100 	202668500 	73541600 	22800700 	110268400 	26006800 	100390800 	136569100 	2697100 	
43606100 	214129700 	86067300 	22481100 	104046900 	23548000 	96592500 	151806600 	4280000 	
454	2012	680	225	1065	233	962	1421	33	ms
1.00	0.23	0.67	2.02	0.43	1.95	0.47	0.32	13.73	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.850000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
53663400 	157178500 	40321800 	16729700 	66347600 	13757100 	73361000 	130375600 	2074400 	
48536200 	154328700 	53714500 	20594800 	95249800 	18293600 	74299700 	115468200 	2057200 	
50371700 	146824700 	46809000 	19849800 	108459200 	19298800 	76071200 	117320000 	2529800 	
47972300 	160149900 	42835500 	18766000 	85920400 	18670000 	73377000 	114123400 	2125200 	
47387100 	191882200 	71974000 	17956200 	98839100 	18893100 	76698800 	119983200 	2411300 	
44213800 	177354300 	83310100 	17128200 	88400700 	14088700 	79605900 	144396800 	3253800 	
41126900 	145309000 	56968400 	17893600 	90950800 	18829200 	75322900 	111383600 	2065000 	
48137800 	156590100 	42346200 	19385700 	93674400 	19731900 	74440600 	117272700 	2989900 	
46972100 	144017700 	44701700 	20173400 	97620100 	18940500 	74293500 	111593300 	2056900 	
45886000 	175329800 	84149800 	18036200 	95926100 	18000500 	77138300 	112927900 	2086600 	
474	1608	567	186	921	178	754	1194	23	ms
1.00	0.29	0.84	2.54	0.51	2.66	0.63	0.40	20.05	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.900000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
43770000 	124288500 	36538500 	15232800 	72152200 	13605800 	53392500 	108068800 	1410000 	
43628700 	123826500 	44491700 	12969500 	81632300 	13778500 	50231600 	89593900 	1850400 	
39412600 	115231500 	30822800 	14310600 	74508200 	13294200 	49872400 	120298400 	1460700 	
45517000 	126275200 	32656700 	14074100 	76218500 	13843700 	53055300 	110869100 	1435400 	
45518000 	106005400 	33678600 	14040600 	70860100 	13369700 	50669700 	99781100 	1433300 	
45013500 	126565700 	34109600 	14187200 	74426500 	15332200 	54060300 	85274600 	1438200 	
42540300 	125555500 	38406800 	14466900 	85121900 	14667200 	53380600 	97032000 	1430600 	
44509000 	109062100 	29430200 	13738000 	72977500 	13536500 	51817500 	102864400 	2321800 	
46378600 	114119900 	28954500 	12799100 	51763000 	10425400 	43711300 	82406100 	1506500 	
46580300 	108965400 	37777200 	13993400 	68611900 	13512000 	49803800 	103494400 	1479900 	
